siteID,longitude,latitude,condition
Site-001,-123.528857799999997,48.815709869999999,Closed-Dry
Site-003,-123.525987900000004,48.817472070000001,Closed-Dry
Site-005,-123.526847599999996,48.818439849999997,Closed-Dry
Site-006,-123.524232200000000,48.812038510000001,Closed-Dry
Site-007,-123.534557199999995,48.824428930000003,Closed-Dry
Site-008,-123.545960899999997,48.826124550000003,Closed-Dry
Site-011,-123.528730800000005,48.819791610000003,Closed-Dry
Site-012,-123.537389800000000,48.819168550000001,Closed-Dry
Site-014,-123.521206599999999,48.815161689999996,Closed-Dry
Site-015,-123.533152500000000,48.820159930000003,Closed-Dry
Site-100,-123.545298000000003,48.827682420000002,Closed-Dry
Site-103,-123.530801600000004,48.821571679999998,Closed-Wet
Site-104,-123.520390899999995,48.810909400000000,Closed-Wet
Site-106,-123.524109199999998,48.819594219999999,Closed-Wet
Site-107,-123.529690400000007,48.816088049999998,Closed-Wet
Site-109,-123.547263400000006,48.828456029999998,Closed-Wet
Site-110,-123.532096199999998,48.822235069999998,Closed-Wet
Site-111,-123.528277599999996,48.815291299999998,Closed-Wet
Site-112,-123.519116199999999,48.812119989999999,Closed-Wet
Site-114,-123.535356300000004,48.820613510000001,Closed-Wet
Site-200,-123.519163100000000,48.816671430000000,Closed-Wet
Site-201,-123.529770099999993,48.820411649999997,Open-Dry
Site-202,-123.520164100000002,48.815916860000002,Open-Dry
Site-203,-123.525177099999993,48.812387080000001,Open-Dry
Site-204,-123.543727000000004,48.826741869999999,Open-Dry
Site-206,-123.521623899999994,48.817560640000004,Open-Dry
Site-213,-123.538494400000005,48.818205110000001,Open-Dry
Site-214,-123.529654899999997,48.818039759999998,Open-Dry
Site-215,-123.542562300000000,48.827469399999998,Open-Dry
Site-220,-123.540647199999995,48.825518580000001,Open-Dry
Site-303,-123.523194099999998,48.811245640000003,Open-Wet
Site-305,-123.532201299999997,48.824486290000003,Open-Wet
Site-307,-123.517970300000002,48.808242980000003,Open-Wet
Site-308,-123.547992600000001,48.825645219999998,Open-Wet
Site-309,-123.527426500000004,48.822434690000001,Open-Wet
Site-318,-123.526889600000004,48.817953809999999,Open-Wet
Site-322,-123.526785700000005,48.817393869999997,Open-Wet
Site-324,-123.544799800000007,48.829471179999999,Open-Wet
Site-357,-123.527999199999996,48.820974990000003,Open-Wet
Site-389,-123.527281299999999,48.822603479999998,Open-Wet
